peubah,blok,jenis,n_taraf,auc_mentah,auc_terarah,auc_model_satu_peubah
rasio_hutang,KONVENSIONAL,numerik,,0.6847,0.6847,0.6836
penghasilan_bulanan,KONVENSIONAL,numerik,,0.3548,0.6452,0.6436
pekerjaan,KONVENSIONAL,kategorikal,10,,,0.642
simpanan_wajib,KOPERASI,numerik,,0.359,0.641,0.639
simpanan_sukarela,KOPERASI,numerik,,0.3583,0.6417,0.639
jumlah_tanggungan,KONVENSIONAL,numerik,,0.6164,0.6164,0.6121
transaksi_koperasi,KOPERASI,numerik,,0.3912,0.6088,0.6072
pendidikan,KONVENSIONAL,kategorikal,4,,,0.6016
sistem_potong_gaji,KOPERASI,kategorikal,2,,,0.5953
lama_keanggotaan,KOPERASI,numerik,,0.4061,0.5939,0.5924
suku_bunga,KONVENSIONAL,numerik,,0.5525,0.5525,0.5476
keterlambatan_bayar,KONVENSIONAL,numerik,,0.5443,0.5443,0.5345
status_keaktifan,KOPERASI,kategorikal,2,,,0.5327
status_perkawinan,KONVENSIONAL,kategorikal,3,,,0.5319
partisipasi_rat,KOPERASI,kategorikal,2,,,0.5204
usia,KONVENSIONAL,numerik,,0.4767,0.5233,0.5178
jenis_anggota,KOPERASI,kategorikal,2,,,0.5171
jumlah_pinjaman,KONVENSIONAL,numerik,,0.4794,0.5206,0.5148
simpanan_pokok,KOPERASI,numerik,,0.4795,0.5205,0.5141
kota,KONVENSIONAL,kategorikal,8,,,0.511
jenis_kelamin,KONVENSIONAL,kategorikal,2,,,0.4984
tenor_pinjaman,KONVENSIONAL,numerik,,0.5131,0.5131,0.4973
riwayat_pinjaman,KONVENSIONAL,numerik,,0.496,0.504,0.4732
