id_anggota,usia,jenis_kelamin,status_perkawinan,pendidikan,pekerjaan,penghasilan_bulanan,lama_keanggotaan,jumlah_pinjaman,tenor_pinjaman,suku_bunga,jumlah_tanggungan,riwayat_pinjaman,keterlambatan_bayar,rasio_hutang,simpanan_wajib,simpanan_sukarela,status_pinjaman,kota,simpanan_pokok,jenis_anggota,partisipasi_rat,transaksi_koperasi,sistem_potong_gaji,status_keaktifan
1,37,P,Belum Menikah,SMA,UMKM,3466000,13,20746000,60,13,0,2,0,0.145,650000,193000,0,Yogyakarta,100000,Biasa,Ya,1885000,Tidak,Aktif
2,43,L,Menikah,S1,Guru,5847000,67,15343000,12,11,2,0,0,0.321,6700000,1039000,0,Medan,100000,Biasa,Ya,7454000,Tidak,Aktif
3,32,P,Menikah,S1,Karyawan Swasta,9237000,80,72522000,48,12,4,3,2,0.247,16000000,2604000,1,Jakarta,100000,Biasa,Tidak,4705000,Ya,Aktif
4,50,L,Menikah,SMA,Karyawan Swasta,5737000,13,22308000,48,14,0,0,0,0.145,650000,264000,0,Medan,100000,Biasa,Tidak,2109000,Ya,Pasif
5,31,L,Menikah,SMA,Buruh,2958000,50,19805000,36,13,1,2,0,0.242,2500000,369000,1,Yogyakarta,100000,Biasa,Tidak,596000,Tidak,Pasif
6,32,P,Menikah,SMA,PNS,4662000,36,21530000,36,12,2,0,0,0.279,3600000,687000,0,Semarang,100000,Biasa,Ya,7859000,Ya,Aktif
7,23,P,Belum Menikah,S1,Perawat,4848000,12,29388000,60,14,0,0,0,0.174,1800000,180000,0,Semarang,100000,Biasa,Tidak,2596000,Ya,Aktif
8,28,P,Belum Menikah,D3,Buruh,2745000,33,7657000,12,12,0,1,1,0.286,1650000,1056000,0,Medan,100000,Biasa,Ya,1579000,Tidak,Aktif
9,32,L,Belum Menikah,S1,Karyawan Swasta,7039000,59,60262000,36,13,0,0,0,0.301,8850000,647000,0,Medan,100000,Biasa,Tidak,1178000,Ya,Pasif
10,40,P,Menikah,S2,Perawat,5290000,24,36317000,48,12,3,0,0,0.232,2400000,365000,0,Palembang,100000,Biasa,Ya,645000,Ya,Pasif
11,35,P,Menikah,SMA,Petani,2529000,45,7215000,12,11,1,1,0,0.304,2250000,247000,1,Semarang,100000,Biasa,Ya,623000,Tidak,Aktif
12,31,P,Belum Menikah,SMA,Petani,4049000,13,16144000,36,12,1,2,0,0.169,1300000,273000,1,Jakarta,100000,Biasa,Tidak,1058000,Tidak,Aktif
13,45,L,Menikah,S2,Karyawan Swasta,10808000,55,55215000,24,11,1,3,2,0.281,11000000,1098000,1,Makassar,100000,Biasa,Ya,5478000,Ya,Aktif
