Model,Fitur,Accuracy,Precision,Recall,F1,AUC,Brier
Logistic Regression,A,0.7515,0.6337,0.4326,0.5142,0.7761,0.1688
Logistic Regression,B,0.7675,0.6571,0.4918,0.5626,0.8009,0.1598
Decision Tree,A,0.713,0.5397,0.3799,0.4459,0.6949,0.1995
Decision Tree,B,0.718,0.5512,0.3898,0.4566,0.706,0.1977
Random Forest,A,0.7375,0.6254,0.3405,0.4409,0.7517,0.1762
Random Forest,B,0.748,0.6494,0.3717,0.4728,0.783,0.1674
Gradient Boosting,A,0.7405,0.6093,0.4079,0.4887,0.7627,0.1739
Gradient Boosting,B,0.7545,0.6321,0.4605,0.5328,0.7885,0.1656
SVM (RBF),A,0.7405,0.6353,0.3438,0.4461,0.7502,0.1767
SVM (RBF),B,0.762,0.6634,0.4408,0.5296,0.7806,0.1653
