Model,Fitur,REL,RES,UNC,slope,intercept,ECE
Logistic Regression,A,0.00059,0.04294,0.21158,0.9096,0.0019,0.0196
Logistic Regression,B,0.00096,0.05271,0.21158,0.8833,0.0023,0.0247
Decision Tree,A,0.00851,0.0234,0.21158,0.2123,0.0021,0.0654
Decision Tree,B,0.01019,0.02651,0.21158,0.2287,0.0132,0.0789
Random Forest,A,0.00105,0.03556,0.21158,1.0348,-0.032,0.0265
Random Forest,B,0.0017,0.04516,0.21158,1.2583,-0.0287,0.0353
Gradient Boosting,A,0.00119,0.03713,0.21158,0.8521,0.0104,0.0267
Gradient Boosting,B,0.00127,0.04601,0.21158,0.8835,0.0162,0.0278
SVM (RBF),A,0.00201,0.03823,0.21158,0.9952,-0.001,0.035
SVM (RBF),B,0.00071,0.04696,0.21158,0.9925,-0.0043,0.022
