Model,SMOTE,Brier,REL,RES,UNC,slope,intercept,ECE
Logistic Regression,Tidak,0.15934,0.00092,0.05227,0.21158,0.87782,-0.00162,0.0243
Logistic Regression,Ya,0.18076,0.02148,0.05162,0.21158,0.76687,-0.80085,0.12291
Decision Tree,Tidak,0.19637,0.01026,0.02724,0.21158,0.24338,0.01714,0.07939
Decision Tree,Ya,0.21513,0.02845,0.02496,0.21158,0.34858,-0.65342,0.13309
Random Forest,Tidak,0.16776,0.00172,0.04486,0.21158,1.24053,-0.03222,0.03508
Random Forest,Ya,0.17126,0.00324,0.04346,0.21158,1.15776,-0.27595,0.05131
Gradient Boosting,Tidak,0.1658,0.00141,0.04611,0.21158,0.88223,0.01798,0.02887
Gradient Boosting,Ya,0.16786,0.00376,0.04652,0.21158,0.88648,-0.25098,0.04582
SVM (RBF),Tidak,0.16557,0.00073,0.04684,0.21158,0.97227,-0.00685,0.02332
SVM (RBF),Ya,0.17976,0.01287,0.04389,0.21158,0.63831,-0.47035,0.08564
