fitur,koefisien,abs,blok
pekerjaan_Guru,-1.139,1.139,KONVENSIONAL
pekerjaan_Perawat,-0.8124,0.8124,KONVENSIONAL
rasio_hutang,0.7985,0.7985,KONVENSIONAL
jenis_anggota_Calon,0.7722,0.7722,KOPERASI
sistem_potong_gaji_Ya,-0.6673,0.6673,KOPERASI
jumlah_tanggungan,0.5402,0.5402,KONVENSIONAL
pekerjaan_PNS,-0.5041,0.5041,KONVENSIONAL
kota_Palembang,-0.4274,0.4274,KONVENSIONAL
keterlambatan_bayar,0.4059,0.4059,KONVENSIONAL
pekerjaan_Pedagang,-0.3674,0.3674,KONVENSIONAL
pendidikan_S2,-0.3405,0.3405,KONVENSIONAL
lama_keanggotaan,-0.3074,0.3074,KOPERASI
pekerjaan_Karyawan Swasta,-0.3053,0.3053,KONVENSIONAL
pendidikan_SMA,0.2737,0.2737,KONVENSIONAL
simpanan_sukarela,-0.2737,0.2737,KOPERASI
status_keaktifan_Pasif,0.2664,0.2664,KOPERASI
pekerjaan_Nelayan,-0.2539,0.2539,KONVENSIONAL
pendidikan_S1,-0.2518,0.2518,KONVENSIONAL
kota_Medan,-0.2514,0.2514,KONVENSIONAL
penghasilan_bulanan,-0.2493,0.2493,KONVENSIONAL
pekerjaan_UMKM,-0.2318,0.2318,KONVENSIONAL
suku_bunga,0.2262,0.2262,KONVENSIONAL
usia,-0.2186,0.2186,KONVENSIONAL
kota_Makassar,0.1822,0.1822,KONVENSIONAL
pekerjaan_Petani,-0.1685,0.1685,KONVENSIONAL
simpanan_wajib,-0.1544,0.1544,KOPERASI
kota_Surabaya,-0.1536,0.1536,KONVENSIONAL
partisipasi_rat_Ya,-0.1518,0.1518,KOPERASI
kota_Jakarta,0.1299,0.1299,KONVENSIONAL
kota_Semarang,0.1227,0.1227,KONVENSIONAL
status_perkawinan_Cerai,0.1091,0.1091,KONVENSIONAL
jenis_kelamin_P,-0.1023,0.1023,KONVENSIONAL
riwayat_pinjaman,-0.0799,0.0799,KONVENSIONAL
jumlah_pinjaman,0.0797,0.0797,KONVENSIONAL
status_perkawinan_Menikah,-0.0659,0.0659,KONVENSIONAL
pekerjaan_Wiraswasta,0.0473,0.0473,KONVENSIONAL
kota_Yogyakarta,-0.0425,0.0425,KONVENSIONAL
tenor_pinjaman,-0.0378,0.0378,KONVENSIONAL
transaksi_koperasi,-0.0237,0.0237,KOPERASI
simpanan_pokok,-0.0194,0.0194,KOPERASI
