rasio,Fitur,ambang_argmin,biaya_min,datar_dari,datar_sampai,lebar_datar,biaya_di_030,kelebihan_biaya_030_persen,ambang_030_di_daerah_datar
1.0,A,0.52,0.248,0.49,0.54,0.05,0.294,18.55,False
1.0,B,0.48,0.232,0.48,0.55,0.07,0.2755,18.75,False
1.5,A,0.37,0.3192,0.37,0.38,0.01,0.3375,5.72,False
1.5,B,0.46,0.3048,0.34,0.48,0.14,0.3177,4.27,False
2.0,A,0.31,0.378,0.3,0.37,0.07,0.381,0.79,True
2.0,B,0.34,0.3565,0.29,0.35,0.06,0.36,0.98,True
2.5,A,0.27,0.4228,0.24,0.31,0.07,0.4245,0.41,True
2.5,B,0.28,0.3997,0.26,0.3,0.04,0.4022,0.63,True
3.0,A,0.24,0.4545,0.23,0.24,0.01,0.468,2.97,False
3.0,B,0.26,0.4345,0.18,0.28,0.1,0.4445,2.3,False
4.0,A,0.19,0.503,0.19,0.2,0.01,0.555,10.34,False
4.0,B,0.18,0.476,0.17,0.18,0.01,0.529,11.13,False
5.0,A,0.15,0.543,0.12,0.19,0.07,0.642,18.23,False
5.0,B,0.14,0.5085,0.14,0.18,0.04,0.6135,20.65,False
7.0,A,0.12,0.579,0.12,0.12,0.0,0.816,40.93,False
7.0,B,0.11,0.5545,0.11,0.14,0.03,0.7825,41.12,False
10.0,A,0.12,0.627,0.12,0.12,0.0,1.077,71.77,False
10.0,B,0.05,0.6045,0.05,0.11,0.06,1.036,71.38,False
