Ambang,Fitur,Accuracy,Precision,Recall,F1,AUC,Brier,TP,FP,FN,TN
0.2,A,0.627,0.4412,0.852,0.5814,0.7761,0.1688,518,656,90,736
0.2,B,0.6555,0.4635,0.8454,0.5987,0.8009,0.1598,514,595,94,797
0.25,A,0.672,0.4759,0.7796,0.591,0.7761,0.1688,474,522,134,870
0.25,B,0.691,0.4948,0.7878,0.6079,0.8009,0.1598,479,489,129,903
0.3,A,0.706,0.5118,0.7138,0.5962,0.7761,0.1688,434,414,174,978
0.3,B,0.7245,0.5347,0.722,0.6144,0.8009,0.1598,439,382,169,1010
0.35,A,0.728,0.5452,0.6349,0.5866,0.7761,0.1688,386,322,222,1070
0.35,B,0.743,0.5658,0.6645,0.6112,0.8009,0.1598,404,310,204,1082
0.4,A,0.7415,0.5767,0.5625,0.5695,0.7761,0.1688,342,251,266,1141
0.4,B,0.75,0.5871,0.5987,0.5928,0.8009,0.1598,364,256,244,1136
0.45,A,0.7455,0.5996,0.4901,0.5394,0.7761,0.1688,298,199,310,1193
0.45,B,0.763,0.6255,0.5493,0.5849,0.8009,0.1598,334,200,274,1192
0.5,A,0.7515,0.6337,0.4326,0.5142,0.7761,0.1688,263,152,345,1240
0.5,B,0.7675,0.6571,0.4918,0.5626,0.8009,0.1598,299,156,309,1236
0.55,A,0.7495,0.6569,0.3684,0.4721,0.7761,0.1688,224,117,384,1275
0.55,B,0.7665,0.6831,0.4326,0.5297,0.8009,0.1598,263,122,345,1270
0.6,A,0.743,0.6836,0.2878,0.4051,0.7761,0.1688,175,81,433,1311
0.6,B,0.7615,0.712,0.3618,0.4798,0.8009,0.1598,220,89,388,1303
