Model,Fitur,Accuracy,Precision,Recall,F1,AUC,Brier
Logistic Regression,A,0.7493,0.6334,0.4164,0.5025,0.7671,0.1712
Logistic Regression,B,0.7552,0.6327,0.4648,0.5359,0.794,0.1624
Decision Tree,A,0.7138,0.5416,0.3839,0.4485,0.6983,0.1998
Decision Tree,B,0.7179,0.5479,0.4125,0.4706,0.7061,0.1987
Random Forest,A,0.7334,0.6063,0.351,0.4445,0.7379,0.1795
Random Forest,B,0.7501,0.6563,0.3737,0.4762,0.7746,0.1697
Gradient Boosting,A,0.7345,0.5934,0.4026,0.4797,0.7467,0.1789
Gradient Boosting,B,0.7483,0.6179,0.4507,0.5212,0.7755,0.1695
SVM (RBF),A,0.7391,0.6414,0.3217,0.4285,0.7327,0.1794
SVM (RBF),B,0.7578,0.6641,0.4115,0.5081,0.7712,0.1683
