fitur,koef_C1,koef_tanpa_penalti,susut_persen,jenis
pekerjaan_Guru,-1.139,-1.4052,18.9,DUMMY
pekerjaan_Perawat,-0.8124,-1.0698,24.1,DUMMY
rasio_hutang,0.7985,0.8056,0.9,NUMERIK
jenis_anggota_Calon,0.7722,0.8687,11.1,DUMMY
sistem_potong_gaji_Ya,-0.6673,-0.6274,-6.4,DUMMY
jumlah_tanggungan,0.5402,0.5508,1.9,NUMERIK
pekerjaan_PNS,-0.5041,-0.726,30.6,DUMMY
kota_Palembang,-0.4274,-0.4369,2.2,DUMMY
keterlambatan_bayar,0.4059,0.4104,1.1,NUMERIK
pekerjaan_Pedagang,-0.3674,-0.5352,31.4,DUMMY
pendidikan_S2,-0.3405,-0.397,14.2,DUMMY
lama_keanggotaan,-0.3074,-0.3174,3.2,NUMERIK
pekerjaan_Karyawan Swasta,-0.3053,-0.4953,38.4,DUMMY
pendidikan_SMA,0.2737,0.2728,-0.4,DUMMY
simpanan_sukarela,-0.2737,-0.2764,0.9,NUMERIK
status_keaktifan_Pasif,0.2664,0.273,2.4,DUMMY
pekerjaan_Nelayan,-0.2539,-0.3796,33.1,DUMMY
pendidikan_S1,-0.2518,-0.273,7.8,DUMMY
kota_Medan,-0.2514,-0.2678,6.1,DUMMY
penghasilan_bulanan,-0.2493,-0.2243,-11.2,NUMERIK
pekerjaan_UMKM,-0.2318,-0.3648,36.5,DUMMY
suku_bunga,0.2262,0.2208,-2.5,NUMERIK
usia,-0.2186,-0.2259,3.2,NUMERIK
kota_Makassar,0.1822,0.1834,0.6,DUMMY
pekerjaan_Petani,-0.1685,-0.2904,42.0,DUMMY
simpanan_wajib,-0.1544,-0.1419,-8.8,NUMERIK
kota_Surabaya,-0.1536,-0.1672,8.1,DUMMY
partisipasi_rat_Ya,-0.1518,-0.155,2.1,DUMMY
kota_Jakarta,0.1299,0.1165,-11.5,DUMMY
kota_Semarang,0.1227,0.1304,5.9,DUMMY
status_perkawinan_Cerai,0.1091,0.1171,6.8,DUMMY
jenis_kelamin_P,-0.1023,-0.1045,2.1,DUMMY
riwayat_pinjaman,-0.0799,-0.0798,-0.0,NUMERIK
jumlah_pinjaman,0.0797,0.0879,9.3,NUMERIK
status_perkawinan_Menikah,-0.0659,-0.0809,18.5,DUMMY
pekerjaan_Wiraswasta,0.0473,-0.1235,61.7,DUMMY
kota_Yogyakarta,-0.0425,-0.0455,6.5,DUMMY
tenor_pinjaman,-0.0378,-0.0379,0.4,NUMERIK
transaksi_koperasi,-0.0237,-0.0185,-28.1,NUMERIK
simpanan_pokok,-0.0194,-0.0022,-796.6,NUMERIK
