Model,SMOTE,Accuracy,Precision,Recall,F1,AUC,Brier
Logistic Regression,Tidak,0.767,0.6548,0.494,0.5631,0.8024,0.1593
Logistic Regression,Ya,0.7277,0.5395,0.7122,0.6139,0.8006,0.1808
Decision Tree,Tidak,0.7228,0.5588,0.4178,0.4779,0.7107,0.1964
Decision Tree,Ya,0.672,0.4701,0.6102,0.5305,0.7075,0.2151
Random Forest,Tidak,0.7523,0.6622,0.3783,0.4815,0.7815,0.1678
Random Forest,Ya,0.743,0.5954,0.4825,0.533,0.7784,0.1713
Gradient Boosting,Tidak,0.7555,0.634,0.4627,0.535,0.7871,0.1658
Gradient Boosting,Ya,0.747,0.5899,0.551,0.5698,0.7874,0.1679
SVM (RBF),Tidak,0.7593,0.6577,0.4348,0.5234,0.7814,0.1656
SVM (RBF),Ya,0.7382,0.5633,0.6168,0.5888,0.781,0.1798
