Model,Fitur,Accuracy,Precision,Recall,F1,AUC,Brier,sd_AUC
Logistic Regression,A,0.7521,0.6349,0.4342,0.5157,0.7764,0.1683,0.0012
Logistic Regression,B,0.7669,0.6559,0.4908,0.5614,0.8028,0.1591,0.0014
Decision Tree,A,0.7165,0.5469,0.3954,0.4584,0.7004,0.1982,0.0054
Decision Tree,B,0.7177,0.548,0.4095,0.4686,0.7103,0.1972,0.0084
Random Forest,A,0.738,0.6233,0.3493,0.4477,0.7489,0.1767,0.0038
Random Forest,B,0.7526,0.6648,0.376,0.4803,0.783,0.1675,0.0019
Gradient Boosting,A,0.7409,0.611,0.4069,0.4885,0.7576,0.1749,0.0044
Gradient Boosting,B,0.754,0.6312,0.4589,0.5314,0.7865,0.1657,0.0033
SVM (RBF),A,0.7441,0.6454,0.3516,0.4551,0.751,0.1753,0.0026
SVM (RBF),B,0.7617,0.6662,0.4336,0.5252,0.7827,0.1649,0.0023
