replikasi,selisih_AUC
1,-0.00175
2,-0.004303
3,-0.00265
4,-0.003477
5,-0.001626
6,-0.002646
7,-0.007332
8,-0.004973
9,-0.004208
10,-0.003834
11,-0.004323
12,-0.003629
13,-0.001159
14,0.000538
15,-0.007085
16,-0.005441
17,-0.002601
18,-0.004413
19,-0.004665
20,-0.002569
21,-0.00344
22,-0.005404
23,-0.000508
24,-0.002898
25,-5.8e-05
26,-0.001079
27,-0.001348
28,-0.002801
29,-0.005591
30,-0.001353
31,-0.003104
32,-0.004192
33,-0.004883
34,-0.00098
35,-0.003383
36,-0.00379
37,-0.004159
38,-0.005389
39,-0.000714
40,-0.004218
41,-0.00331
42,-0.004293
43,-0.002474
44,-0.002973
45,-0.002517
46,-0.004221
47,-0.002757
48,-0.002126
49,-0.003425
50,-0.003031
51,-0.001938
52,-0.005128
53,-0.005063
54,-0.001185
55,-0.002189
56,-0.001198
57,-0.006443
58,-0.002742
59,-0.002143
60,-0.002252
61,-0.003624
62,-0.005193
63,-0.005358
64,-5.4e-05
65,-0.003499
66,-0.00158
67,-0.001681
68,-0.001182
69,-0.001213
70,-0.002917
71,0.001229
72,-0.003267
73,-0.006117
74,-0.001303
75,-0.001332
76,-0.002065
77,-0.00065
78,-0.002243
79,-0.000756
80,0.000123
81,-0.005012
82,-0.002283
83,-0.002638
84,-0.004193
85,-0.002677
86,-0.004717
87,-0.001827
88,-0.001029
89,-0.001576
90,-0.001928
91,-0.005557
92,-0.006725
93,-0.002239
94,-0.004184
95,-0.006209
96,-0.005786
97,-0.003614
98,-0.00236
99,-0.002914
100,0.001086
101,-0.00604
102,-0.001671
103,0.002389
104,-0.003724
105,-0.004954
106,-0.003217
107,-0.00361
108,-0.002152
109,-0.003879
110,-0.00166
111,-0.002793
112,-0.003617
113,-0.002341
114,-0.001049
115,-0.004981
116,-0.001516
117,-0.000907
118,-0.004796
119,-0.002511
120,-0.003638
121,-0.000665
122,-0.004727
123,-0.002741
124,-0.005568
125,-0.005973
126,-0.002544
127,0.0002
128,0.003086
129,-0.009171
130,-0.000578
131,-0.007236
132,-0.005154
133,-0.00041
134,-0.002909
135,-0.002706
136,-0.007772
137,-0.001035
138,-0.003977
139,-0.002095
140,-0.002816
141,-0.004375
142,-0.003139
143,-0.004711
144,0.002211
145,-0.002857
146,-0.003015
147,-0.004172
148,-0.00274
149,-0.001054
150,-0.001966
151,-0.003912
152,-0.004531
153,-0.004516
154,-0.004412
155,-0.001599
156,-0.004362
157,-0.000135
158,-0.00417
159,-0.003863
160,-0.004094
161,-0.002791
162,0.001113
163,-0.003917
164,-0.002221
165,-0.007002
166,-0.005811
167,-0.002913
168,-0.003793
169,-0.003421
170,-0.003604
171,-0.002292
172,-0.000625
173,-0.003215
174,-0.00292
175,-0.000135
176,-0.000346
177,-0.005617
178,-0.00294
179,-0.001464
180,-0.002603
181,-0.005022
182,-0.005755
183,-0.00246
184,-0.000993
185,-0.004081
186,-0.000852
187,-0.004195
188,-0.003603
189,-0.000697
190,-0.004934
191,-0.003026
192,-0.002603
193,-0.001556
194,-0.00289
195,-0.008127
196,-0.004875
197,-0.000554
198,-0.008531
199,-0.003234
200,-0.000702
