Model,kota,n_uji,AUC_A,AUC_B,selisih
Logistic Regression,Bandung,236,0.8122,0.8574,0.0451
Logistic Regression,Jakarta,250,0.7873,0.8224,0.0352
Logistic Regression,Makassar,244,0.7005,0.7329,0.0324
Logistic Regression,Medan,268,0.793,0.8227,0.0298
Logistic Regression,Palembang,263,0.7832,0.7864,0.0032
Logistic Regression,Semarang,249,0.766,0.8077,0.0418
Logistic Regression,Surabaya,232,0.8114,0.8297,0.0183
Logistic Regression,Yogyakarta,258,0.8005,0.8014,0.0009
Gradient Boosting,Bandung,236,0.767,0.8296,0.0626
Gradient Boosting,Jakarta,250,0.7886,0.8038,0.0151
Gradient Boosting,Makassar,244,0.7117,0.7498,0.0381
Gradient Boosting,Medan,268,0.7606,0.7961,0.0356
Gradient Boosting,Palembang,263,0.746,0.763,0.017
Gradient Boosting,Semarang,249,0.7199,0.7741,0.0543
Gradient Boosting,Surabaya,232,0.7574,0.795,0.0376
Gradient Boosting,Yogyakarta,258,0.7939,0.7928,-0.0011
